97,1954,Switzerland,Geneva,Quarterfinals,West Germany,Yugoslavia,2,0,H,,West Germany,Yugoslavia,Jun,Sunday
98,1954,Switzerland,Basel,Semifinals,Austria,West Germany,1,6,A,,West Germany,Austria,Jun,Wednesday
99,1954,Switzerland,Lausanne,Semifinals,Hungary,Uruguay,4,2,H,Hungary won in AET,Hungary,Uruguay,Jun,Wednesday
100,1954,Switzerland,Zürich,Third place,Austria,Uruguay,3,1,H,,Austria,Uruguay,Jul,Saturday
101,1954,Switzerland,Berne,Final,West Germany,Hungary,3,2,H,,West Germany,Hungary,Jul,Sunday
102,1958,Sweden,Malmö,Group 1,Argentina,West Germany,1,3,A,,West Germany,Argentina,Jun,Sunday
103,1958,Sweden,Uddevalla,Group 4,Austria,Brazil,0,3,A,,Brazil,Austria,Jun,Sunday
104,1958,Sweden,Halmstad,Group 1,Czechoslovakia,Northern Ireland,0,1,A,,Northern Ireland,Czechoslovakia,Jun,Sunday
105,1958,Sweden,Gothenburg,Group 4,England,Soviet Union,2,2,D,,NA,NA,Jun,Sunday
106,1958,Sweden,Norrköping,Group 2,France,Paraguay,7,3,H,,France,Paraguay,Jun,Sunday
107,1958,Sweden,Sandviken,Group 3,Hungary,Wales,1,1,D,,NA,NA,Jun,Sunday
108,1958,Sweden,Västerås,Group 2,Scotland,Yugoslavia,1,1,D,,NA,NA,Jun,Sunday
109,1958,Sweden,Solna,Group 3,Sweden,Mexico,3,0,H,,Sweden,Mexico,Jun,Sunday
110,1958,Sweden,Halmstad,Group 1,Argentina,Northern Ireland,3,1,H,,Argentina,Northern Ireland,Jun,Wednesday
111,1958,Sweden,Borås,Group 4,Austria,Soviet Union,0,2,A,,Soviet Union,Austria,Jun,Wednesday
112,1958,Sweden,Gothenburg,Group 4,Brazil,England,0,0,D,,NA,NA,Jun,Wednesday
113,1958,Sweden,Helsingborg,Group 1,Czechoslovakia,West Germany,2,2,D,,NA,NA,Jun,Wednesday
114,1958,Sweden,Västerås,Group 2,France,Yugoslavia,2,3,A,,Yugoslavia,France,Jun,Wednesday
115,1958,Sweden,Solna,Group 3,Mexico,Wales,1,1,D,,NA,NA,Jun,Wednesday
116,1958,Sweden,Norrköping,Group 2,Paraguay,Scotland,3,2,H,,Paraguay,Scotland,Jun,Wednesday
117,1958,Sweden,Solna,Group 3,Sweden,Hungary,2,1,H,,Sweden,Hungary,Jun,Thursday
118,1958,Sweden,Helsingborg,Group 1,Argentina,Czechoslovakia,1,6,A,,Czechoslovakia,Argentina,Jun,Sunday
119,1958,Sweden,Borås,Group 4,Austria,England,2,2,D,,NA,NA,Jun,Sunday
120,1958,Sweden,Gothenburg,Group 4,Brazil,Soviet Union,2,0,H,,Brazil,Soviet Union,Jun,Sunday
121,1958,Sweden,Örebro,Group 2,France,Scotland,2,1,H,,France,Scotland,Jun,Sunday
122,1958,Sweden,Malmö,Group 1,West Germany,Northern Ireland,2,2,D,,NA,NA,Jun,Sunday
123,1958,Sweden,Sandviken,Group 3,Hungary,Mexico,4,0,H,,Hungary,Mexico,Jun,Sunday
124,1958,Sweden,Eskilstuna,Group 2,Paraguay,Yugoslavia,3,3,D,,NA,NA,Jun,Sunday
125,1958,Sweden,Solna,Group 3,Sweden,Wales,0,0,D,,NA,NA,Jun,Sunday
126,1958,Sweden,Malmö,Group 1,Czechoslovakia,Northern Ireland,1,2,A,Northern Ireland won in AET,Northern Ireland,Czechoslovakia,Jun,Tuesday
127,1958,Sweden,Gothenburg,Group 4,England,Soviet Union,0,1,A,,Soviet Union,England,Jun,Tuesday
128,1958,Sweden,Solna,Group 3,Hungary,Wales,1,2,A,,Wales,Hungary,Jun,Tuesday
129,1958,Sweden,Gothenburg,Quarterfinals,Brazil,Wales,1,0,H,,Brazil,Wales,Jun,Thursday
130,1958,Sweden,Norrköping,Quarterfinals,France,Northern Ireland,4,0,H,,France,Northern Ireland,Jun,Thursday
131,1958,Sweden,Malmö,Quarterfinals,West Germany,Yugoslavia,1,0,H,,West Germany,Yugoslavia,Jun,Thursday
132,1958,Sweden,Solna,Quarterfinals,Sweden,Soviet Union,2,0,H,,Sweden,Soviet Union,Jun,Thursday
133,1958,Sweden,Solna,Semifinals,Brazil,France,5,2,H,,Brazil,France,Jun,Tuesday
134,1958,Sweden,Gothenburg,Semifinals,Sweden,West Germany,3,1,H,,Sweden,West Germany,Jun,Tuesday
135,1958,Sweden,Gothenburg,Third place,France,West Germany,6,3,H,,France,West Germany,Jun,Saturday
136,1958,Sweden,Solna,Final,Sweden,Brazil,2,5,A,,Brazil,Sweden,Jun,Sunday
137,1962,Chile,Rancagua,Group 4,Argentina,Bulgaria,1,0,H,,Argentina,Bulgaria,May,Wednesday
138,1962,Chile,Viña del Mar,Group 3,Brazil,Mexico,2,0,H,,Brazil,Mexico,May,Wednesday
139,1962,Chile,Santiago,Group 2,Chile,Switzerland,3,1,H,,Chile,Switzerland,May,Wednesday
140,1962,Chile,Arica,Group 1,Colombia,Uruguay,1,2,A,,Uruguay,Colombia,May,Wednesday
141,1962,Chile,Viña del Mar,Group 3,Czechoslovakia,Spain,1,0,H,,Czechoslovakia,Spain,May,Thursday
142,1962,Chile,Rancagua,Group 4,England,Hungary,1,2,A,,Hungary,England,May,Thursday
143,1962,Chile,Santiago,Group 2,West Germany,Italy,0,0,D,,NA,NA,May,Thursday
144,1962,Chile,Arica,Group 1,Soviet Union,Yugoslavia,2,0,H,,Soviet Union,Yugoslavia,May,Thursday
145,1962,Chile,Rancagua,Group 4,Argentina,England,1,3,A,,England,Argentina,Jun,Saturday
146,1962,Chile,Viña del Mar,Group 3,Brazil,Czechoslovakia,0,0,D,,NA,NA,Jun,Saturday
147,1962,Chile,Santiago,Group 2,Chile,Italy,2,0,H,,Chile,Italy,Jun,Saturday
148,1962,Chile,Arica,Group 1,Uruguay,Yugoslavia,1,3,A,,Yugoslavia,Uruguay,Jun,Saturday
149,1962,Chile,Rancagua,Group 4,Bulgaria,Hungary,1,6,A,,Hungary,Bulgaria,Jun,Sunday
150,1962,Chile,Arica,Group 1,Colombia,Soviet Union,4,4,D,,NA,NA,Jun,Sunday
151,1962,Chile,Santiago,Group 2,West Germany,Switzerland,2,1,H,,West Germany,Switzerland,Jun,Sunday
152,1962,Chile,Viña del Mar,Group 3,Mexico,Spain,0,1,A,,Spain,Mexico,Jun,Sunday
153,1962,Chile,Rancagua,Group 4,Argentina,Hungary,0,0,D,,NA,NA,Jun,Wednesday
154,1962,Chile,Viña del Mar,Group 3,Brazil,Spain,2,1,H,,Brazil,Spain,Jun,Wednesday
155,1962,Chile,Santiago,Group 2,Chile,West Germany,0,2,A,,West Germany,Chile,Jun,Wednesday
156,1962,Chile,Arica,Group 1,Soviet Union,Uruguay,2,1,H,,Soviet Union,Uruguay,Jun,Wednesday
157,1962,Chile,Rancagua,Group 4,Bulgaria,England,0,0,D,,NA,NA,Jun,Thursday
